"Product Name","Product Category","Associated Partner",Fee,Branches,"Associated Workflow",Enrolled,"In Progress"
"Bachelor of General Studies",Course,"University of Southern Queensland (USQ)","AUD 91,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Health (Honours)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Biomedical Sciences)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus,Ipswich Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Human Services)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Medical Laboratory Science)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus,Ipswich Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Midwifery)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Ipswich Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Nursing)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus,Ipswich Campus","Australian Education",0,0
"Bachelor of Health (Honours) (Paramedicine)",Course,"University of Southern Queensland (USQ)","AUD 30,480.00","Toowoomba Campus,Ipswich Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Power Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) Bachelor of Business and Commerce",Course,"University of Southern Queensland (USQ)","AUD 148,000.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) Bachelor of Information Technology",Course,"University of Southern Queensland (USQ)","AUD 154,200.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) Bachelor of Science",Course,"University of Southern Queensland (USQ)","AUD 166,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering Science",Course,"University of Southern Queensland (USQ)","AUD 100,080.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering Science (Agricultural Engineering)",Course,"University of Southern Queensland (USQ)","AUD 100,080.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering Science (Civil Engineering)",Course,"University of Southern Queensland (USQ)","AUD 100,080.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering Science (Electrical and Electronic Engineering)",Course,"University of Southern Queensland (USQ)","AUD 100,080.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering Science (Environmental Engineering)",Course,"University of Southern Queensland (USQ)","AUD 100,080.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Agricultural Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Civil Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Computer Systems Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Electrical and Electronic Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Environmental Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Mechanical Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering (Honours) (Mechatronic Engineering)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Early Childhood",Course,"University of Southern Queensland (USQ)","AUD 75,120.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Education Early Childhood (BEED)",Course,"University of Southern Queensland (USQ)","AUD 100,160.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Education Primary (BPED)",Course,"University of Southern Queensland (USQ)","AUD 100,160.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Education Secondary (BSED)",Course,"University of Southern Queensland (USQ)","AUD 100,160.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Engineering",Course,"University of Southern Queensland (USQ)","AUD 8,990.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Engineering (Honours)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Music)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Creative Arts (Theatre)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Visual Arts)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Honours)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Honours) (Music)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Honours) (Theatre)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Creative Arts (Honours) (Visual Arts)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Communication and Media (Journalism Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Journalism)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Marketing)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Professional Photography)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus,Ipswich Campus","Australian Education",0,0
"Bachelor of Communication and Media (Public Relations Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Public Relations)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Television and Radio Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Television and Radio)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Construction (Honours)",Course,"University of Southern Queensland (USQ)","AUD 134,400.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Creative Arts (BCAR)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Tourism and Events Management)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Tourism Management)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce and Bachelor of Information Technology",Course,"University of Southern Queensland (USQ)","AUD 107,360.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce and Bachelor of Laws",Course,"University of Southern Queensland (USQ)","AUD 132,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce and Bachelor of Science",Course,"University of Southern Queensland (USQ)","AUD 117,440.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Communication",Course,"University of Southern Queensland (USQ)","AUD 27,200.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Communication and Media",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Advertising)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Communication and Media (Communication and Media Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Business Law)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Finance)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (General Commerce)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Human Resource Management)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Information Technology Management)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (International Business)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Management and Leadership)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Marketing and Hospitality Management)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Marketing)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Sustainable Business)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Aviation",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Aviation (Flight Operations)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Biomedical Sciences",Course,"University of Southern Queensland (USQ)","AUD 99,360.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business Administration",Course,"University of Southern Queensland (USQ)","AUD 16,500.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Bachelor of Laws",Course,"University of Southern Queensland (USQ)","AUD 19,600.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Accounting (Extended))",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Accounting)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Business Administration)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Business and Commerce (Business Economics)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Indigenous Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (International Relations)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Journalism Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (Legal Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (Public Relation Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Social Justice Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts and Bachelor of Business and Commerce (BACB)",Course,"University of Southern Queensland (USQ)","AUD 102,400.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts and Bachelor of Laws",Course,"University of Southern Queensland (USQ)","AUD 132,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts and Bachelor of Science",Course,"University of Southern Queensland (USQ)","AUD 117,440.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (History)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (Anthropology)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (Contemporary Media Studies)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (Creative and Critical Writing)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (English Literature)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (History)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (International Relations)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (Public Relation Studies)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Honours) (Social Justice Studies)",Course,"University of Southern Queensland (USQ)","AUD 25,600.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Anthropology and Archaeology Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (Anthropology)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Archaeology)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Contemporary International Studies Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts (Contemporary Media Studies)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (Creative and Critical Writing)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (English Literature Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (English Literature)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Arts (History Extended)",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Criminology and Criminal Justice (ADCJ)",Course,"University of Southern Queensland (USQ)","AUD 55,040.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Engineering (Civil Engineering)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Engineering (Electrical and Electronic Engineering)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Engineering (Mechanical Engineering)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Engineering (Mining Engineering)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree of Medical Laboratory Science",Course,"University of Southern Queensland (USQ)","AUD 66,240.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree of Spatial Science (Geographic Information Systems)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree of Spatial Science (Surveying)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Spatial Science (Urban and Regional Planning)",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus","Australian Education",0,0
"Bachelor of Arts",Course,"University of Southern Queensland (USQ)","AUD 76,800.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree in Engineering",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree in Spatial Science",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree of Biomedical Science",Course,"University of Southern Queensland (USQ)","AUD 66,240.00","Toowoomba Campus","Australian Education",0,0
"Associate Degree of Business and Commerce",Course,"University of Southern Queensland (USQ)","AUD 51,200.00","Toowoomba Campus,Springfield Lakes Campus","Australian Education",0,0
"Associate Degree of Construction",Course,"University of Southern Queensland (USQ)","AUD 67,200.00","Springfield Lakes Campus","Australian Education",0,0
"Bachelor of Nursing",Degree,"University of Southern Queensland","AUD 0.00","USQ Toowoomba","Australian Education",0,0
"Bachelor of ICT","Higher Education Course","Federation University Australia","AUD 0.00",Sydney,"Australian Education",0,0
"Diploma of Civil Construction Design",Course,"Stott's College","AUD 18,900.00","Melbourne City Campus,Brisbane Campus,Perth Campus,Sydney Campus","Australian Education",0,0
"Certificate III in Commercial Cookery","VET Course",Nortwest,"AUD 0.00","City Campus,North Manly Campus,Melbourne Campus,GEORGE STREET CAMPUS,YORK STREET CAMPUS,ADELAIDE CAMPUS","Australian Education",3,2
"English for Academic Purposes 1",Course,"Polytechnic Institute Australia (PIA)","AUD 7,200.00","Sydney Campus","Australian Education",0,0
"English For Academic Purposes 2",Course,"Polytechnic Institute Australia (PIA)","AUD 3,600.00","Sydney Campus","Australian Education",0,0
"Master of Business (Marketing)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Master of Business (International Business)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Master of Business (General Business)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",2,2
"Master of Business (Cyber Security Management)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Master of Business (Data Analysis)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Master of Business",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Postgraduate Qualifying Program",Course,"Polytechnic Institute Australia (PIA)","AUD 8,000.00","Sydney Campus","Australian Education",0,0
"Bachelor of Business (Marketing)",Course,"Polytechnic Institute Australia (PIA)","AUD 42,000.00","Sydney Campus","Australian Education",0,0
"Bachelor of Business (Accounting)",Course,"Polytechnic Institute Australia (PIA)","AUD 42,000.00","Sydney Campus","Australian Education",2,1
"Diploma of Business",Course,"Polytechnic Institute Australia (PIA)","AUD 19,000.00","Sydney Campus","Australian Education",0,0
"Master of Business (Accounting)",Course,"Polytechnic Institute Australia (PIA)","AUD 40,000.00","Sydney Campus","Australian Education",0,0
"Bachelor of Networking and Telecommunications (BNeT)",Course,"Polytechnic Institute Australia (PIA)","AUD 48,000.00","Sydney Campus","Australian Education",0,0
"Graduate Certificate in Business",Course,"Polytechnic Institute Australia (PIA)","AUD 10,000.00","Sydney Campus","Australian Education",0,0
"Graduate Diploma in Business",Course,"Polytechnic Institute Australia (PIA)","AUD 20,000.00","Sydney Campus","Australian Education",0,0
"Master of Professional Psychology",Course,"Australian College of Applied Professions (ACAP)","AUD 47,672.00","Sydney Campus,ACAP Sydney,ACAP Adelaide,ACAP Perth,ACAP Melbourne,ACAP Brisbane,ACAP Byron Bay","Australian Education",0,0
"CRICOS 110973J CERTIFICATE IV IN KITCHEN MANAGEMENT","VET Course",Nortwest,"AUD 0.00","GEORGE STREET CAMPUS,City Campus,North Manly Campus,Melbourne Campus","Australian Education",4,3
"Diploma of Information Technology(Cyber Security)",Course,Nortwest,"AUD 25,500.00","YORK STREET CAMPUS,GEORGE STREET CAMPUS,ADELAIDE CAMPUS","Australian Education",1,1
"Advanced Diploma of Information Technology(Cyber Security)",Course,Nortwest,"AUD 21,000.00","YORK STREET CAMPUS,GEORGE STREET CAMPUS,ADELAIDE CAMPUS","Australian Education",0,0
"Advanced Diploma of Information Technology [Telecommunications Network Engineering]",Course,Nortwest,"AUD 21,000.00","YORK STREET CAMPUS,GEORGE STREET CAMPUS,ADELAIDE CAMPUS","Australian Education",0,0
"Master of Science (Information Technology)",Course,"Deakin University","AUD 75,200.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Science (Information Technology) -A212",Course,"Deakin University","AUD 75,200.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Science (Information Technology) -IISRI",Course,"Deakin University","AUD 75,200.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Social Work (Research)",Course,"Deakin University","AUD 72,800.00","Geelong Waterfront Campus","Australian Education",0,0
"Master of Sustainability",Course,"Deakin University","AUD 72,400.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Teaching (Early Childhood)",Course,"Deakin University","AUD 58,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Accounting",Course,"Deakin University","AUD 0.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of criminology",Course,"Deakin University","AUD 36,000.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus,Geelong Waterfront Campus,Warrnambool Campus,Deakin College Burwood Campus","Australian Education",0,0
"Master of Philosophy",Course,"Deakin University","AUD 77,600.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Professional Accounting",Course,"Deakin University","AUD 57,600.00","Melbourne Burwood Campus","Australian Education",1,1
"Master of Professional Accounting and Finance",Course,"Deakin University","AUD 76,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Professional Accounting and Law",Course,"Deakin University","AUD 76,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Psychology (Clinical)",Course,"Deakin University","AUD 70,400.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Psychology (Organisational)",Course,"Deakin University","AUD 70,400.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Public Health",Course,"Deakin University","AUD 74,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Science (Biology and Chemical Sciences)",Course,"Deakin University","AUD 78,800.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Science (Biology and Chemical Sciences)-IFM",Course,"Deakin University","AUD 78,800.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Science (Environmental Science)",Course,"Deakin University","AUD 78,800.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus,Warrnambool Campus","Australian Education",0,0
"Master of International Finance",Course,"Deakin University","AUD 76,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of International Relations",Course,"Deakin University","AUD 32,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of International Relations (International)",Course,"Deakin University","AUD 64,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Landscape Architecture",Course,"Deakin University","AUD 70,000.00","Geelong Waterfront Campus","Australian Education",0,0
"Master of Laws",Course,"Deakin University","AUD 39,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Laws - Major Thesis",Course,"Deakin University","AUD 63,200.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Master of Marketing",Course,"Deakin University","AUD 78,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Nursing",Course,"Deakin University","AUD 72,800.00","Melbourne Burwood Campus,Geelong Waterfront Campus,Warrnambool Campus","Australian Education",0,0
"Master of Nutrition and Population Health",Course,"Deakin University","AUD 72,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Health Economics",Course,"Deakin University","AUD 64,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Health Promotion",Course,"Deakin University","AUD 74,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Humanitarian Assistance",Course,"Deakin University","AUD 27,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Information Systems",Course,"Deakin University","AUD 70,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Information Technology",Course,"Deakin University","AUD 52,500.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Information Technology (Professional)",Course,"Deakin University","AUD 70,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Infrastructure Engineering and Management",Course,"Deakin University","AUD 37,400.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Infrastructure Engineering and Management (Professional)",Course,"Deakin University","AUD 74,800.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of International Accounting-ACCA",Course,"Deakin University","AUD 76,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Doctor of Philosophy-IISRI",Course,"Deakin University","AUD 150,400.00","Melbourne Burwood Campus,Geelong Waurn Ponds Campus","Australian Education",0,0
"English for Academic Purposes Stream-Dueli",Course,"Deakin University","AUD 9,625.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"English for Specific Purposes (ESP) Stream-Dueli",Course,"Deakin University","AUD 1,925.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"General English Stream-Dueli",Course,"Deakin University","AUD 19,250.00","Melbourne Burwood Campus,Geelong Waterfront Campus","Australian Education",0,0
"Graduate Certificate of International Relations",Course,"Deakin University","AUD 15,000.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Engineering-IFM",Course,"Deakin University","AUD 78,800.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Engineering-IISRI",Course,"Deakin University","AUD 78,800.00","Geelong Waurn Ponds Campus","Australian Education",0,0
"Master of Film and Television",Course,"Deakin University","AUD 62,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Financial Planning",Course,"Deakin University","AUD 57,600.00","Melbourne Burwood Campus","Australian Education",0,0
"Master of Health and Human Services Management",Course,"Deakin University","AUD 74,800.00","Melbourne Burwood Campus","Australian Education",0,0
"Doctor of Philosophy - Architecture",Course,"Deakin University","AUD 136,000.00","Geelong Waterfront Campus","Australian Education",0,0
