"Partner Name",Email,"Primary Contact",Phone,Street,City,State,"Post Code",Country,"Currency Code","Partner Category",Workflow,Products,Enrolled,"In Progress"
"National Accreditation Authority for Translators and Interpreters Ltd",info@naati.com.au,,611300557470,"16/2 King Street",Deakin,"Australian Capital Territory",2600,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,0,0
"Council on Chiropractic Education Australasia Limited",admin@ccea.com.au,,61261006264,"Level 1, 15 Lancaster Place,Majura Park",Canberra,"Australian Capital Territory",2609,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,0,0
"Medical Board of Australia",communications@ahpra.gov.au,,61392853010,"Level 7, 111 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"Chinese Medicine Board of Australia",program.accreditation@ahpra.gov.au,,61392853010,"Level 7, 111 Bourke Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",2,0,0
"Chartered Accountants Australia and New Zealand",service@charteredaccountantsanz.com,,61292905660,"Level 10, 60 Marcus Clarke Street",Canberra,"Australian Capital Territory",2601,Australia,AUD,Private,"SKILL ASSESSMENT",7,33,8
"Australian Society of Medical Imagery and Radiation Therapy",osassess@asmirt.org,,61394193336,"Suite 1040-1044 (Level 10), 1 Queens Road",Melbourne,Victoria,3004,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,0,0
"Australian Psychological Society Limited",contactus@psychology.org.au,,61386623300,"Level 13, 257 Collins Street",Melbourne,Victoria,8009,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",4,0,0
"Australian Physiotherapy Council Limited",enquiries@physiocouncil.com.au,,61370181499,"Level 3, 600 Victoria St",Richmond,Victoria,3121,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",12,0,0
"Australian Pharmacy Council Limited",assessments@pharmacycouncil.org.au,,61261884288,"Level 1, 15 Lancaster Place,",Canberra,"Australian Capital Territory",2609,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"Australian Orthotic Prosthetic Association Limited",admin@aopa.org.au,,61398164620,"2/1175 Toorak Road",Camberwell,Victoria,3124,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",5,0,0
"Australian Nursing & Midwifery Accreditation Council Limited",anmac@anmac.org.au,,61262577960,"Level 1, 15 Lancaster Place , Majura Park",Canberra,"Australian Capital Territory",2609,Australia,AUD,Private,"Australian Education,Insurance Service,SKILL ASSESSMENT",3,40,4
"Australian Institute of Medical Scientists",contact@aims.org.au,,61738762988,"7/31 Black Street",Milton,Queensland,4064,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",23,0,0
"Australian Institute for Teaching and School Leadership Limited",migration@aitsl.edu.au,,61399441200,"Level 8, 440 Collins Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Australian Education,Insurance Service,SKILL ASSESSMENT,VISA Service",4,1,1
"Australian Dental Council Limited",info@adc.org.au,,61396571777,"Level 6, 469 La Trobe Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",7,0,0
"Australian Computer Society Incorporated",info@acs.org.au,,61261435503,"Queen Victoria Building",Sydney,"New South Wales",1230,Australia,AUD,Private,"Australian Education,SKILL ASSESSMENT",7,61,17
"Australian Community Workers Association Inc.",info@acwa.org.au,,61396425166,"Suite 4, Level 2, 190 Queen Street",Melbourne,Victoria,3000,Australia,AUD,Private,"Australian Education,Insurance Service,SKILL ASSESSMENT,VISA Service",7,11,2
"Australian Children’s Education and Care Quality",enquiries@acecqa.gov.au,,1300422327,"6/175 Liverpool St",Sydney,"New South Wales",2000,Australia,AUD,Private,"Australian Education,SKILL ASSESSMENT,VISA Service",6,3,2
"Australian Association of Social Workers Limited",cpd@aasw.asn.au,,61393201000,"Level 7, 14-20 Blackwood St","North Melbourne",Victoria,3051,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",6,1,1
"Australian and New Zealand Society of Nuclear Medicine",secretariat@anzsnm.org.au,,611300330402,"Vermont South",Parkville,Victoria,3052,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",3,0,0
"Australasian Veterinary Boards Council Incorporated",admin@avbc.asn.au,,61396207844,"Level 8, 470 Collins St",Melbourne,Victoria,3000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",13,0,0
"Australasian Osteopathic Accreditation Council Limited",admin@osteopathiccouncil.org.au,,612627491905,"Level 1, 15 Lancaster Place , Majura Park",Canberra,"Australian Capital Territory",2609,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",16,0,0
"Australasian College of Physical Scientists and Engineers in Medicine",admin.support@acpsem.org.au,,61283053900,"Suite 7.12, Aero 247 Coward Street",Mascot,"New South Wales",2020,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",1,0,0
"​Architects Accreditation Council of Australia",mail@aaca.org.au,,61280428930,"Suite 3, Level 5 75 Castlereagh Street",Sydney,"New South Wales",2000,Australia,AUD,Private,"Accomodation Service,Australian Education,Insurance Service,VISA Service",14,0,0
"Department of Home Affairs (DoHA)",info@homeaffairs.gov.au,,"131 881","GPO Box 9984",Sydney,NSW,2001,Australia,AUD,"Visa Department","VISA Service",156,1349,401
"Australian Institute of Business and Technology T/A Sydney International School (SIS)",info@sis.edu.au,,"(02) 92643997","Level 3, 303 Pitt Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Accomodation Service,Australian Education,Insurance Service,VISA Service",96,0,0
"Australia Institute of Business and Technology (AIBT)",b.yang@aibtglobal.edu.au,,"0450 566 596",,,,,,AUD,College,"Australian Education",2,0,0
"King's Own Institute (KOI)",ask@koi.edu.au,,61292833583,"Level 1, St Martins Tower, 31 Market Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",24,133,63
"Opera City English College",info@opera.nsw.edu.au,,+61280348856,"Level 1, 303 Pitt Street",Sydney,"New South Wales",2000,Australia,AUD,College,"Australian Education",3,9,0
"Charles Sturt University",vc@csu.edu.au,,"1800 275 278","Boorooma Street","Wagga Wagga","New South Wales",2675,Australia,AUD,University,"Australian Education",157,93,37
"Southern cross university (EDU-co)",infosydney@scu.edu.au,,285991820,"86 Mary Street","Surry Hills","New South Wales",2010,Australia,AUD,University,"Australian Education",11,4,0
"TAFE NSW",intadmissions@tafensw.edu.au,,610292174106,"651-731 Harris Street",Sydney,"New South Wales",2007,Australia,AUD,Institution,"Australian Education",123,3,0
"Flinders University",askflinders@flinders.edu.au,,"(08) 8201 2015","Sturt Road","Bedford Park","South Australia",5042,Australia,AUD,University,"Australian Education",636,1,0
"Australian Catholic University",nternational.admissions@acu.edu.au,,,"North Sydney Campus (MacKillop) T: +61 2 9739 2437 42 Edward Street North Sydney NSW 2060",,,,,AUD,University,"Australian Education",1,1,0
"Australian College of Applied Professions (ACAP)",connect@acap.edu.au,"Mario Tjahyadi","1800 061 199","Level 11, 255 Elizabeth Street",Sydney,"New South Wales",2000,Australia,AUD,Institution,"Australian Education",29,39,14
"Rockford College",admissions@rockford.edu.au,,"+61 2 8593 5200","Level 3/633 Princes Highway",Rockdale,NSW,,Australia,AUD,College,"Australian Education",17,14,7
"University of Canberra",international@canberra.edu.au,,61262015111,"Building 5, Level B, 11 Kirninari Street",Bruce,"Australian Capital Territory",2617,Australia,AUD,"Training Center","Australian Education",232,10,7
"Excelsia College",info@excelsia.edu.au,,"(02) 9819 8847","69-71 Waterloo Road","Macquarie Park","New South Wales",2113,Australia,AUD,Institution,"Australian Education",41,74,45
"Queensland International Business Academy (QIBA)",info@qiba.edu.au,"Saroj Sharma","0412 870 718","Lvl 2, 108 Margaret Street",Brisbane,Queensland,4000,Australia,AUD,Institution,"Australian Education",15,17,3
"CIT Solutions",Agents@cit.edu.au,,262073188,"PO Box 226",Jamison,ACT,2614,Australia,AUD,Institution,"Australian Education",1,2,1
"Lead College",admissions@leadcollege.edu.au,Calista,"(02) 8668 5676","Lvl 1, 841 George St Haymarket",Sydney,NSW,2000,Australia,AUD,Institution,"Australian Education",47,31,14
"Equals International",admissions@equals.edu.au,,"(08) 8110 1200","81 Currie St",Adelaide,"South Australia",5000,Australia,AUD,Institution,"Australian Education,VISA Service",12,2,0
IMAN,support@getmypolicy.online,,61249141131,"22 Honeysuckle Drive",Newcastle,"New South Wales",2300,Australia,AUD,"Insurance Provider","Insurance Service",51,0,0
"NIB OSHC",nibinsurance@nib.com.au,,61249251900,"22 Honeysuckle Drive",Newcastle,"New South Wales",2300,Australia,AUD,"Insurance Provider","Insurance Service",1,0,0
Medibank,oshc@medibank.com.au,,61368621095,,Melbourne,Victoria,3001,Australia,AUD,"Insurance Provider","Insurance Service",4,0,0
"Allianz OSHC",phio.info@ombudsman.gov.au,,61733058841,"Level 6/324 Queen St",Brisbane,Queensland,4000,Australia,AUD,"Insurance Provider","Insurance Service",1,0,0
AHM,oshc@ahm.com.au,,61398621095,,Melbourne,Victoria,3001,Australia,AUD,"Insurance Provider","Insurance Service",1,0,0
"US Customs and Border Protection",enrolments@vsoenglish.edu,,"540 4324161","Suite 50, 200 One World Trade Centre",Rochester,"New York",,"United States",USD,"Visa Department","VISA Service",2,0,0
Bupa,oshc@bupa.com.au,,61399374223,"247 Collins Street",Melbourne,Victoria,3000,Australia,AUD,"Insurance Provider","Insurance Service",6,13,3
UniLodge,bookings@unilodge.com.au,,"02 9338 5000","185-211 Broadway",Ultimo,NSW,,Australia,AUD,"Accommodation Provider","Accomodation Service",3,0,0
"Department of Home Affairs (AUS)",visa@homeaffairs.gov.au,,"1800 562 896","26 Lee Street",Sydney,NSW,,Australia,AUD,"Visa Office","VISA Service",8,113,21
"Virginia School of English",enrolments@vsoenglish.edu,,"540 4324161","120 Park Road",Harrisonburg,VA,,"United States",USD,School,"Us Education F1",2,0,0
"California State University",students@calstatela.edu,,"323 3433000","5151 State University Drve","Los Angeles",CA,,"United States",USD,University,"Us Education F1",5,0,0
"Louisiana State University",students@lsu.edu,,"225 5782311","114 West David Boyd","Baton Rouge",LA,,"United States",USD,University,"Us Education F1",5,0,0
ATMC,admissions@atmc.edu.au,,"02 9811 5200","540 George Street",Sydney,NSW,,Australia,AUD,University,"Australian Education",5,0,0
"Queensland Academy of Technology (QAT)",study@qat.qld.edu.au,,"(07) 3002 0888","Ground Floor, 333 Adelaide Street",Brisbane,Queensland,4000,Australia,AUD,Institution,"Australian Education",198,0,0
"The University of Sydney",info@io.usyd.edu.au,,"(02) 9351 5051","88 Mallett Street",Camperdown,"New South Wales",2006,Australia,AUD,University,"Australian Education",150,2,0
